Link,Status,VideoId,Notes
https://www.instagram.com/reel/DbBUHk3hUFn/,published,video-102,
https://www.instagram.com/reel/DbBrr2ty3mR/,published,video-071,
https://www.instagram.com/reel/DbBBIxmvcog/,published,video-103,
https://www.instagram.com/reel/DbBakM4vy35/,published,video-104,
https://www.instagram.com/reel/DbBAhWDzBYf/,published,video-072,
https://www.instagram.com/reel/DbBOLWoz1eL/,ignored,,"Command failed: yt-dlp --dump-json --no-playlist https://www.instagram.com/reel/DbBOLWoz1eL/ | ERROR: [Instagram] DbBOLWoz1eL: Instagram sent an empty media response. Check if this post is accessible in your browser without being logged-in. If it is not, then use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Otherwise, if the post is accessible in browser without being logged-in, please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U (skipped via admin-tui)"
https://www.instagram.com/reel/DbBPGTexM3x/,published,video-073,
https://www.instagram.com/reel/DbBlBKQTYLh/,published,video-074,
https://www.instagram.com/reel/DbB4alLzKgi/,published,video-075,
https://www.instagram.com/reel/DbChYkLTYRS/,published,video-076,
https://www.instagram.com/reel/DbBL5I_y6TM/,published,video-077,
https://www.instagram.com/reel/DbBvaaGMNz2/,published,video-078,
https://www.instagram.com/reel/DbC1lo4NEyM/,published,video-079,
https://www.instagram.com/reel/DbCJDp8SYkn/,published,video-080,
https://www.instagram.com/reel/DbCqEa1JUfL/,published,video-081,
https://www.instagram.com/reel/DbCsNFBp1d6/,published,video-082,
https://www.instagram.com/reel/DbBTMcwpxqj/,published,video-083,
https://www.instagram.com/reel/DbDSJMgz9Ni/,published,video-084,
https://www.instagram.com/reel/DbCvH50RZ12/,published,video-085,
https://www.instagram.com/reel/DbBKwaQKr4y/,published,video-086,
https://www.instagram.com/reel/DbDTeOZojpM/,published,video-087,
https://www.instagram.com/reel/DbAWvzvzRS9/,published,video-088,
https://www.instagram.com/reel/DbArB-nuRCp/,ignored,,"Command failed: yt-dlp --dump-json --no-playlist https://www.instagram.com/reel/DbArB-nuRCp/ | WARNING: [Instagram] DbArB-nuRCp: Instagram API is not granting access | ERROR: [Instagram] DbArB-nuRCp: Instagram sent an empty media response. Check if this post is accessible in your browser without being logged-in. If it is not, then use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Otherwise, if the post is accessible in browser without being logged-in, please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U (skipped via admin-tui)"
https://www.instagram.com/reel/DbBTTWgzcvg/,ignored,,"Instagram: audience-restricted (""can't be seen by certain audiences""), not fetchable unauthenticated"
https://www.instagram.com/reel/DbBrySJTl7X/,published,video-089,
https://www.instagram.com/reel/DbA4VETIuOR/,published,video-090,
https://www.instagram.com/reel/DbBP2JpPOTM/,published,video-091,
https://x.com/i/status/2079401634954911866/,ignored,,yt-dlp: no video in this tweet (text/image post)
https://www.instagram.com/reel/DbCogNDofMA/,ignored,,"Misattributed: Getty-watermarked 1930s independence-movement stock footage per uploader's own caption -- not from this protest, excluded from the archive"
https://www.instagram.com/p/DbDORLUPTk1/,ignored,,yt-dlp: no video in this post (photo only)
https://www.instagram.com/reel/DbEI79RASVa/,published,video-093,
https://www.instagram.com/reel/DbFtFCypmcS/,ignored,,PeekTV @peektv_in #PeekOnGround - interview with the Nagpur protester from the viral lathicharge video (22 Jul) (skipped via admin-tui)
https://www.instagram.com/reel/DbFLaczTDpB/,ignored,,PeekTV @peektv_in #PeekOnGround - lathicharge victim Aniket Patil interview shot day after the march (22 Jul) (skipped via admin-tui)
https://www.instagram.com/reel/DbFZlfPOMYj/,ignored,,PeekTV @peektv_in - own aftermath footage of police vehicles damaged during the march (22 Jul) (skipped via admin-tui)
https://www.instagram.com/reel/DbFVXaOOXDB/,ignored,,PeekTV @peektv_in #PeekOnGround - field interview with journalist Mandeep Punia on police stone-pelting (22 Jul) (skipped via admin-tui)
https://www.instagram.com/reel/DbFoNR5tnTp/,ignored,,PeekTV @peektv_in #PeekOnGround - second Mandeep Punia field interview on the violence (22 Jul) (skipped via admin-tui)
https://www.instagram.com/reel/Da-vXTTJPOn/,ignored,,NewsPinch @thenewspinch - ground interview with bereaved father from Gujarat after Wangchuk removal (19 Jul) (skipped via admin-tui)
https://www.instagram.com/reel/DbFxQgiFTDM/,ignored,,NewsPinch @thenewspinch - Jantar Mantar vox-pop: we are having to protest for education (22 Jul) (skipped via admin-tui)
